City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Lorengau,PG,2021-12-09 21:40:05,-2.0226,147.2712,82.15,79,98,25.01
154,Hobart,AU,2021-12-09 21:40:05,-42.8794,147.3294,59.02,74,75,1.01
155,Swellendam,ZA,2021-12-09 21:40:06,-34.0226,20.4417,64.15,94,100,10.8
156,Miraflores,MX,2021-12-09 21:40:07,19.2167,-98.8083,74.05,33,12,2.98
157,Kaitangata,NZ,2021-12-09 21:40:07,-46.2817,169.8464,61.93,53,18,1.99
158,Rameswaram,IN,2021-12-09 21:40:08,9.2833,79.3,80.82,76,78,13.51
159,Narsaq,GL,2021-12-09 21:40:09,60.9167,-46.05,26.82,79,32,6.31
160,Santa Cruz Del Norte,CU,2021-12-09 21:40:09,23.1539,-81.9236,83.14,74,2,12.86
161,Sokoni,TZ,2021-12-09 21:40:10,-6.4333,39.55,80.46,78,8,11.45
162,Lufilufi,WS,2021-12-09 21:40:11,-13.8745,-171.5986,83.98,74,100,14.67
163,Clyde River,CA,2021-12-09 21:39:57,70.4692,-68.5914,-9.17,84,20,5.75
164,Beringovskiy,RU,2021-12-09 21:40:11,63.05,179.3167,-10.1,93,95,14.58
165,Menongue,AO,2021-12-09 21:40:12,-14.6585,17.691,64.33,87,95,3.78
166,Placido De Castro,BR,2021-12-09 21:40:12,-10.3353,-67.1856,73.92,99,100,2.71
167,Qaanaaq,GL,2021-12-09 21:40:13,77.484,-69.3632,-0.44,83,42,8.08
168,Bundaberg,AU,2021-12-09 21:37:12,-24.85,152.35,81.21,79,40,1.99
169,Gimli,CA,2021-12-09 21:40:14,50.6336,-96.9907,26.62,63,65,4.61
170,Santa Cecilia,BR,2021-12-09 21:40:15,-26.9608,-50.4269,59.68,67,9,4.79
171,Moron,AR,2021-12-09 21:38:03,-34.6534,-58.6198,80.02,63,98,4.0
172,Riyadh,SA,2021-12-09 21:39:41,24.6877,46.7219,60.94,30,85,4.09
173,Corn Island,NI,2021-12-09 21:40:16,12.1694,-83.0418,80.98,78,25,15.55
174,Aswan,EG,2021-12-09 21:40:16,24.0934,32.907,60.62,48,85,9.06
175,Chuy,UY,2021-12-09 21:40:17,-33.6971,-53.4616,66.56,76,28,12.71
176,Komsomolskiy,UZ,2021-12-09 21:40:18,40.4272,71.7189,33.22,69,0,9.22
177,Acapulco,MX,2021-12-09 21:40:18,16.8634,-99.8901,87.62,70,40,6.91
178,Hualmay,PE,2021-12-09 21:40:19,-11.0964,-77.6139,69.1,78,87,8.79
179,Namibe,AO,2021-12-09 21:40:19,-15.1961,12.1522,71.51,63,25,8.03
180,Lebu,CL,2021-12-09 21:40:20,-37.6167,-73.65,60.62,76,0,18.25
181,Vostok,RU,2021-12-09 21:40:20,46.4856,135.8833,19.99,84,100,4.21
182,Margate,GB,2021-12-09 21:40:21,51.3813,1.3862,46.31,85,100,5.99
183,Yaan,NG,2021-12-09 21:40:21,7.3833,8.5667,78.84,18,8,5.44
