City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Nicoya,CR,81.95,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
404,Puerto Suarez,BO,78.12,heavy intensity rain,-18.95,-57.8,Hotel casa real
406,Finschhafen,PG,85.05,moderate rain,-6.6024,147.8681,Cossam Guest House
409,Jose Bonifacio,BR,74.46,moderate rain,-21.0528,-49.6883,HOTEL DOS VIAJANTES
413,Hirara,JP,69.66,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
414,Srandakan,ID,66.72,light rain,-7.9386,110.2506,Puri Brata
415,Thinadhoo,MV,80.42,broken clouds,0.5333,72.9333,
416,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
418,Gurupa,BR,80.73,overcast clouds,-1.405,-51.64,Hotel Vitória
420,Bagaces,CR,82.33,overcast clouds,10.5271,-85.2548,Cabinas Tamarindo Bagaces
423,Itoman,JP,66.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
426,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
431,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
432,Beloha,MG,72.34,scattered clouds,-25.1667,45.05,
434,Te Anau,NZ,67.46,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
436,Kirakira,SB,85.35,overcast clouds,-10.4544,161.9205,SanBiz Lodge
439,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
441,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
443,Punta Alta,AR,69.62,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
444,Dunmore Town,BS,77.0,clear sky,25.5,-76.65,Coral Sands Hotel
446,Inirida,CO,75.0,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
448,Betioky,MG,71.08,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
451,Maragogi,BR,78.64,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
452,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
454,Puerto Princesa,PH,79.95,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
456,Nelson Bay,AU,81.28,light rain,-32.7167,152.15,Mantra Nelson Bay
458,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
459,Namatanai,PG,84.58,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
460,Tumut,AU,79.79,scattered clouds,-35.3,148.2167,Amaroo Motel
461,Pital,CO,69.8,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
462,Calawag,PH,80.24,broken clouds,10.6697,119.5707,
464,Nsanje,MW,78.96,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
469,Tumbes,PE,76.95,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
470,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
473,Mendi,PG,66.63,overcast clouds,-6.1761,143.6513,Kiburu Lodge
476,Altamira,BR,78.89,few clouds,-3.2033,-52.2064,Requinte Hotel
477,Conceicao Do Araguaia,BR,77.45,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
480,Pires Do Rio,BR,70.14,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
482,Ntcheu,MW,68.4,broken clouds,-14.8203,34.6359,Dear Executive Lodge
484,Xiamen,CN,66.25,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
485,Miguel Hidalgo,MX,70.43,clear sky,19.4225,-99.2028,JW Marriott Hotel Mexico City
486,Bauta,CU,76.98,few clouds,22.9828,-82.5464,El Refugio
488,Kikwit,CD,71.1,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
489,Victor Harbor,AU,73.72,overcast clouds,-35.5667,138.6167,McCracken Country Club
491,Biu,NG,67.28,few clouds,10.6129,12.1946,Emir's Palace
494,Pagudpud,PH,67.96,scattered clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
495,Matamoros,MX,73.54,overcast clouds,25.5333,-103.25,Quinta Belem
496,Acarau,BR,80.89,broken clouds,-2.8856,-40.12,castelo pizzaria
499,Esmeraldas,BR,72.64,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
500,Black River,JM,80.6,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
501,Passo Fundo,BR,67.86,scattered clouds,-28.2628,-52.4067,Hotel Villa Vergueiro
502,Atar,MR,69.26,clear sky,20.5169,-13.0499,Oumou Elghoura
505,Mulege,MX,76.17,broken clouds,26.8833,-111.9833,Casa Granada
508,Mercedes,AR,71.85,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
509,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
510,Lang Suan,TH,69.89,overcast clouds,9.9456,99.0785,Langsuan Resort
512,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
515,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
524,Alta Floresta,BR,73.11,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
525,Tuatapere,NZ,67.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
526,Vangaindrano,MG,72.19,broken clouds,-23.35,47.6,Hotel Fanilo
527,Pueblo,US,67.71,overcast clouds,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
530,Sao Gabriel Da Cachoeira,BR,74.93,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
532,Palauig,PH,79.3,scattered clouds,15.435,119.9045,Alperi Botique Resort
533,Dubti,ET,71.15,scattered clouds,11.7361,41.0853,degu Shiferaw
534,Limbang,MY,80.91,light rain,4.75,115.0,Purnama Hotel
536,Tessalit,ML,72.95,overcast clouds,20.1986,1.0114,
537,Juba,SS,82.65,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
544,Ponnani,IN,76.32,broken clouds,10.767,75.9252,Rouba Residency
546,Bozoum,CF,73.92,overcast clouds,6.3193,16.3799,
547,Hualmay,PE,68.7,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
548,Tchaourou,BJ,78.48,scattered clouds,8.8865,2.5975,SAFIR HOTEL
550,Da Nang,VN,69.78,mist,16.0678,108.2208,Sun River Hotel
551,Kavieng,PG,83.97,moderate rain,-2.5744,150.7967,Nusa Island Retreat
554,Hope,US,71.65,broken clouds,33.6671,-93.5916,Best Western Hope
560,The Valley,AI,80.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
561,Rantepao,ID,73.49,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
563,Micheweni,TZ,78.42,light rain,-4.9667,39.8333,
565,Puerto Escondido,MX,79.05,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
566,Peruibe,BR,73.04,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
568,Presidente Medici,BR,75.31,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
569,Bosobolo,CD,77.74,overcast clouds,4.1833,19.9,
571,Sarangani,PH,82.13,overcast clouds,5.4033,125.4636,Ballistic Islet
573,Ixtapa,MX,78.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
576,Bamako,ML,73.81,overcast clouds,12.65,-8.0,Hôtel l’Amitié Bamako
577,Wad Rawah,SD,76.26,broken clouds,15.1603,33.1397,ود الترابي
579,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
580,Biltine,TD,73.62,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
585,Harper,LR,79.63,overcast clouds,4.375,-7.7169,Screensaver
587,Mwene-Ditu,CD,67.23,overcast clouds,-7.0,23.45,Hôtel Kamas
589,Lastoursville,GA,74.25,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
591,San Martin,AR,73.94,scattered clouds,-33.081,-68.4681,Club El Pelícano
592,Amahai,ID,83.73,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
593,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
594,La Union,PE,74.84,scattered clouds,-5.4,-80.75,Los Portales
598,Koumac,NC,80.01,broken clouds,-20.5667,164.2833,Le Monitel
601,Yaan,NG,77.85,broken clouds,7.3833,8.5667,
606,Nabire,ID,83.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
607,Bairiki,KI,87.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
610,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
612,Salinopolis,BR,80.4,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
614,Rockport,US,76.05,mist,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
615,Camopi,GF,71.71,overcast clouds,3.1655,-52.3158,La pousada
