City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Desur,IN,12.4333,79.4833,70.25,89,70,7.72,broken clouds
174,Nyurba,RU,63.2842,118.3319,-35.27,95,80,7.0,broken clouds
175,Longyearbyen,SJ,78.2186,15.6401,28.24,64,0,20.71,clear sky
176,Zhigansk,RU,66.7697,123.3711,-46.35,100,91,1.19,overcast clouds
177,Alofi,NU,-19.0595,-169.9187,84.09,65,75,10.36,broken clouds
178,Murgab,TM,37.4966,61.9714,31.05,72,56,5.79,broken clouds
179,Koboko,UG,3.4136,30.9599,68.34,59,83,3.4,broken clouds
180,Tiznit,MA,29.5833,-9.5,57.31,39,100,10.63,overcast clouds
181,North Branch,US,45.5113,-92.9802,39.52,87,100,11.97,overcast clouds
182,Davidson,US,36.1501,-86.7833,61.09,50,40,3.44,scattered clouds
183,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,39,0,12.66,clear sky
184,Paamiut,GL,61.994,-49.6678,22.86,80,100,6.24,overcast clouds
185,Katsuura,JP,35.1333,140.3,49.1,71,9,11.77,clear sky
186,Flinders,AU,-34.5833,150.8552,81.05,72,1,8.41,clear sky
187,Oktyabrskoye,RU,43.0645,44.7417,30.34,100,92,2.24,fog
188,Porto Walter,BR,-8.2686,-72.7439,75.7,93,76,3.71,broken clouds
189,Leh,IN,34.1667,77.5833,3.88,89,81,0.67,broken clouds
190,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.69,79,98,8.05,overcast clouds
191,Kulhudhuffushi,MV,6.6221,73.07,81.66,76,97,11.03,overcast clouds
192,Auki,SB,-8.7676,160.7034,83.23,84,93,10.2,overcast clouds
193,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,40,8.05,light rain
194,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.65,89,87,9.86,overcast clouds
195,Wanning,CN,18.8003,110.3967,71.29,85,84,6.02,broken clouds
196,Vicksburg,US,32.3526,-90.8779,73.13,71,90,4.61,overcast clouds
